#;Shop;Lays     ;Coca-Cola ;Adress;Working hours;district
1;Food Market;300;309;Budapest, Dob u. 2, 1072;1;0
2;Mini ABC;-;300;Budapest, Dob u.-Klauzal ter;1;0
3;ABC NON-STOP;320;300;Budapest, Klauzal ter 12;0;0
4;SPAR -Klauzal Piac;299;229;Budapest, Klauzal ter 11;1;0
5;ABC Kriszta;295;280;Budapest, Dob u. 59;1;0
6;Spar;299;229;Budapest, Kiraly u. 35-37;1;0
7;ABC ;289;289;Budapest, Kiraly u. 5, 1075;0;0
8;SPAR Partner;299;229;Budapest, Kiraly u. 35-37, 1071;1;0
9;ABC minimarket;300;335;Budapest, Kiraly u. 28, 1061;1;0
10;Roni ABC- Elelmiszer;299;299;Budapest, Wesselenyi u. 71, 1077;0;0
11;CBA Elelmiszer;319;299;Budapest, Wesselenyi u. 30, 1077;1;0
12;Prater Non-Stop;300;350;Budapest,32, Prater u. 30, 1083;0;0
13;ABC 0:24;349;359;Budapest, Wesselenyi u. 35, 1077;0;0
14;Chimpex Diszkont ;259;299;Budapest, Erszebet krt. 28;1;0
15;SPAR;299;229;Budapest, Erszebet krt. 24;1;0
16;NGA KHANH Diszkont Kinai Bolt;260;250;Budapest, Kertesz u.3, 1073;1;0
17;Roni ABC;299;299;Budapest, Dohany u. 66;0;0
18;Roni ABC;299;299;Budapest, Rakoczi 8;1;0
19;Vegyesbolt;290;300;Budapest, Rakoczi 16;1;0
20;Tesco;315;275;Budapest, Rakoczi 1-3, 1088;1;0
21;Dubai Szupermarket- International Food and Spices;-;350;Budapest, Rakoczi;1;0
22;Interspar;299;229;Budapest, ?ll?i ?t 201, 1191;1;1
23;Penny Market;299;229;Budapest, Ady Endre ?t 32-40, 1191;1;1
24;RealPont;279;299;Budapest, ?ll?i ?t 283, 1195;1;1
25;Napimart;260;250;Budapest, Batthy?ny u. 3, 1195;1;1
26;Real?lelmiszer;139;269;Budapest, ?ll?i ?t 283, 1195;1;1
27;V and D Vegyesbolt;299;279;Budapest, Vak Botty?n u. 75/A-C, 1191;1;1
28;ZsoviMarket;289;289;Budapest, Vak Botty?n u. 75/A-C, 1191;1;1
29;Edess?g Udito K?v?-Italok;350;320;Budapest, Vak Botty?n u. 75/A-C, 1191;1;1
30;Delikatesz Csemege;300;310;Budapest, Vak Botty?n u. 75/A-C, 1191;1;1
31;Euro Cent;280;289;Budapest, Vak Botty?n u. 75/A-C, 1191;1;1
32;Fantasy Drog?ria;290;280;Budapest, Vak Botty?n u. 75/A-C, 1191;1;1
33;MULLER;310;315;Budapest, Vak Botty?n u. 75/A-C, 1191;1;1
34;RELAY;349;359;Budapest, Vak Botty?n u. 75/A-C, 1191;1;1
35;Lidl;289;250;Budapest, B?thory u. 6, 1191;1;1
36;Elelmiszer H?s?ru;359;299;Budapest, Vak Botty?n u. 75/A-C, 1191;1;1
37;Mini ABC;299;280;Budapest, Mad?ch u. 6, 1192;1;1
38;CBA;279;269;Budapest, Templom t?r 21, 1191;1;1
39;KIS-KER;309;299;Ady Endre ?t 154;1;1
40;Tesco;299;259;Budapest, Ady Endre ?t 42-44, 1195;1;1
